dept,insee,cp,nom,priorite
"40","40057","40320",Buanes,"7"
"40","40240","40270",Renung,"6"
"32","32222","32110",Magnan,"7"
"40","40270","40320",Saint-Loubouer,"7"
"68","68087","68640",Feldbach,"6"
"39","39183","39300",Crotenay,"7"
"68","68240","68960",Illtal,"5"
"71","71105","71850",Charnay-l̬s-M̢con,"2"
"60","60701","60130",Wavignies,"4"
"88","88398","88600",Les Rouges-Eaux,"7"
"68","68092","68480",Fislis,"7"
"68","68363","68480",Werentzhouse,"7"
"17","17191","17460",La Jard,"7"
"25","25060","25520",Bians-les-Usiers,"7"
"25","25549","25520",Sombacour,"7"
"76","76012","76110",Angerville-Bailleul,"7"
"76","76021","76110",Annouville-Vilmesnil,"7"
"37","37165","37190",Neuil,"7"
"76","76103","76240",Bonsecours,"1"
"76","76429","76240",Le Mesnil-Esnard,"1"
"35","35141","35450",Landavran,"5"
"66","66120","66340",Nahuja,"7"
"44","44210","44570",Trignac,"2"
"59","59229","59610",F̩ron,"7"
"17","17386","17270",Saint-Pierre-du-Palais,"7"
"59","59525","59177",Sains-du-Nord,"7"
"59","59601","59132",Tr̩lon,"7"
"59","59490","59177",Rainsars,"7"
"14","14302","14950",Glanville,"7"
"59","59261","59132",Glageon,"6"
"14","14620","14130",Saint-Martin-aux-Chartrains,"6"
"14","14131","14800",Canapville,"5"
"14","14238","14800",Englesqueville-en-Auge,"7"
"14","14578","14130",Saint-Gatien-des-Bois,"3"
"14","14086","14800",Bonneville-sur-Touques,"4"
"59","59461","59244",Petit-Fayt,"7"
"59","59036","59440",Avesnes-sur-Helpe,"4"
"14","14575","14950",Saint-Etienne-la-Thillaye,"6"
"14","14731","14800",Vauville,"2"
"59","59562","59440",S̩meries,"7"
"59","59035","59440",Avesnelles,"6"
"59","59493","59177",Ramousies,"7"
"59","59290","59440",Haut-Lieu,"7"
"59","59347","59740",Liessies,"7"
"59","59439","59550",Noyelles-sur-Sambre,"7"
"59","59374","59440",Marbaix,"7"
"59","59061","59550",Beaurepaire-sur-Sambre,"7"
"59","59270","59244",Grand-Fayt,"7"
"2","2050","2170",Barzy-en-Thi̩rache,"7"
"59","59556","59145",Sassegnies,"7"
"59","59474","59550",Prisches,"7"
"59","59583","59550",Taisni̬res-en-Thi̩rache,"7"
"2","2308","2450",Fesmy-le-Sart,"7"
"59","59661","59740",Willies,"7"
"59","59344","59620",Leval,"7"
"59","59033","59620",Aulnoye-Aymeries,"3"
"59","59406","59620",Monceau-Saint-Waast,"7"
"59","59068","59145",Berlaimont,"4"
"59","59177","59440",Dompierre-sur-Helpe,"6"
"59","59542","59620",Saint-Remy-Chauss̩e,"7"
"59","59534","59440",Saint-Hilaire-sur-Helpe,"6"
"59","59225","59750",Feignies,"3"
"59","59103","59330",Boussi̬res-sur-Sambre,"7"
"59","59188","59620",Ecu̩lin,"7"
"59","59617","59138",Vieux-Mesnil,"7"
"59","59424","59330",Neuf-Mesnil,"7"
"59","59467","59138",Pont-sur-Sambre,"7"
"59","59041","59138",Bachant,"4"
"59","59543","59330",Saint-Remy-du-Nord,"7"
"59","59529","59440",Saint-Aubin,"7"
"59","59351","59330",Limont-Fontaine,"7"
"59","59233","59440",Flaumont-Waudrechies,"7"
"59","59291","59330",Hautmont,"4"
"59","59181","59440",Dourlers,"7"
"59","59555","59216",Sars-Poteries,"7"
"59","59365","59720",Louvroil,"3"
"59","59104","59168",Boussois,"7"
"59","59050","59440",Bas-Lieu,"7"
"59","59187","59330",Eclaibes,"7"
"59","59563","59440",Semousies,"7"
"59","59226","59740",Felleries,"7"
"59","59142","59680",Cerfontaine,"6"
"59","59514","59131",Rousies,"3"
"59","59175","59216",Dimont,"7"
"59","59231","59680",Ferri̬re-la-Petite,"6"
"59","59058","59330",Beaufort,"7"
"59","59649","59680",Wattignies-la-Victoire,"7"
"59","59483","59680",Qui̩velon,"7"
"59","59230","59680",Ferri̬re-la-Grande,"6"
"59","59240","59440",Floursies,"7"
"59","59169","59680",Damousies,"7"
"59","59442","59680",Obrechies,"7"
"59","59078","59216",Beugnies,"7"
"21","21475","21250",Pagny-le-Ch̢teau,"7"
"21","21281","21610",Fontenelle,"7"
"68","68062","68130",Carspach,"3"
"59","59495","59245",Recquignies,"7"
"59","59174","59740",Dimechaux,"7"
"59","59342","59740",Lez-Fontaine,"7"
"59","59031","59570",Audignies,"7"
"59","59093","59440",Boulogne-sur-Helpe,"7"
"59","59396","59570",Mecquignies,"6"
"59","59003","59149",Aibes,"7"
"59","59241","59219",Floyon,"7"
"2","2312","2260",La Flamengrie,"7"
"59","59441","59570",Obies,"6"
"2","2324","2170",Fontenelle,"7"
"59","59218","59219",Etroeungt,"6"
"2","2488","2110",Molain,"7"
"2","2683","2110",Saint-Martin-Rivi̬re,"7"
"59","59147","59740",Choisies,"7"
"59","59134","59244",Cartignies,"7"
"59","59333","59219",Larouillies,"7"
"2","2584","2260",Papleux,"7"
"68","68347","68480",Vieux-Ferrette,"7"
"68","68013","68220",Attenschwiller,"4"
"68","68362","68220",Wentzwiller,"4"
"7","7196","7110",Rocles,"7"
"7","7197","7100",Roiffieux,"7"
"7","7199","7260",Rosi̬res,"5"
"45","45201","45210",M̩rinville,"7"
"12","12185","12290",Pont-de-Salars,"6"
"12","12251","12400",Saint-Victor-et-Melvieu,"7"
"12","12017","12430",Ayss̬nes,"7"
"12","12006","12430",Alrance,"7"
"12","12236","12620",Saint-Laurent-de-L̩v̩zou,"7"
"12","12050","12290",Canet-de-Salars,"7"
"12","12299","12430",Villefranche-de-Panat,"7"
